,sth_mvrv,sth_nupl,sth_sopr_24h,sth_supply_in_profit
2014-12-27 00:00:00+00:00,0.8413,-0.1886,0.9978948778553072,494940.05536466
2014-12-28 00:00:00+00:00,0.8224,-0.2159,0.9719193425613051,253932.45884157
2014-12-29 00:00:00+00:00,0.8506,-0.1756,0.9968910915906383,760693.32616853
2014-12-30 00:00:00+00:00,0.8638,-0.1576,1.0007953740141136,865678.83726541
2014-12-31 00:00:00+00:00,0.832,-0.2019,0.9966096738435407,289108.96160865
2015-01-01 00:00:00+00:00,0.825,-0.2121,0.9955439222392278,190645.07902443
2015-01-02 00:00:00+00:00,0.8546,-0.17,0.9988593111855144,584170.76424628
2015-01-03 00:00:00+00:00,0.8212,-0.2176,0.9938681256259145,169214.6969585
2015-01-04 00:00:00+00:00,0.8252,-0.2118,0.9970000966798157,215580.63957026
2015-01-05 00:00:00+00:00,0.8185,-0.2217,0.9828239525290298,83815.3823894
2015-01-06 00:00:00+00:00,0.8242,-0.2132,0.9683658915095955,105655.42488759
2015-01-07 00:00:00+00:00,0.8508,-0.1753,0.9940350072407308,716366.77221092
2015-01-08 00:00:00+00:00,0.8359,-0.1962,0.9974772034548292,467079.03708474
2015-01-09 00:00:00+00:00,0.8514,-0.1745,0.9971308609026416,605703.54382545
